issn|area|titulo|estrato|classificacao
0169-2607|CIÊNCIA DA COMPUTAÇÃO|Computer Methods and Programs in Biomedicine (Print)|A2|Atualizada em 2012
0045-7825|CIÊNCIA DA COMPUTAÇÃO|Computer Methods in Applied Mechanics and Engineering|A1|Atualizada em 2012
1025-5842|CIÊNCIA DA COMPUTAÇÃO|Computer Methods in Biomechanics and Biomedical Engineering|B1|Atualizada em 2012
1531-5169|CIÊNCIA DA COMPUTAÇÃO|Computer Music Journal (Online)|B2|Atualizada em 2012
1389-1286|CIÊNCIA DA COMPUTAÇÃO|Computer Networks (1999)|A1|Atualizada em 2012
0010-4655|CIÊNCIA DA COMPUTAÇÃO|Computer Physics Communications|A1|Atualizada em 2012
1865-2034|CIÊNCIA DA COMPUTAÇÃO|Computer Science (Berlin. Print)|B4|Atualizada em 2012
1095-8363|CIÊNCIA DA COMPUTAÇÃO|Computer Speech & Language (Online)|B1|Atualizada em 2012
0885-2308|CIÊNCIA DA COMPUTAÇÃO|Computer Speech & Language (Print)|B1|Atualizada em 2012
0920-5489|CIÊNCIA DA COMPUTAÇÃO|Computer Standards & Interfaces|B1|Atualizada em 2012
0925-9724|CIÊNCIA DA COMPUTAÇÃO|Computer Supported Cooperative Work|B3|Atualizada em 2012
0267-6192|CIÊNCIA DA COMPUTAÇÃO|Computer Systems Science and Engineering|B3|Atualizada em 2012
1090-235X|CIÊNCIA DA COMPUTAÇÃO|Computer Vision and Image Understanding (Online)|A1|Atualizada em 2012
1077-3142|CIÊNCIA DA COMPUTAÇÃO|Computer Vision and Image Understanding (Print)|A1|Atualizada em 2012
1467-8667|CIÊNCIA DA COMPUTAÇÃO|Computer-Aided Civil And Infrastructure Engineering (Online)|B1|Atualizada em 2012
0895-6111|CIÊNCIA DA COMPUTAÇÃO|Computerized Medical Imaging and Graphics|B1|Atualizada em 2012
0098-1354|CIÊNCIA DA COMPUTAÇÃO|Computers & Chemical Engineering|A1|Atualizada em 2012
0045-7906|CIÊNCIA DA COMPUTAÇÃO|Computers & Electrical Engineering|B2|Atualizada em 2012
0045-7930|CIÊNCIA DA COMPUTAÇÃO|Computers & Fluids|A2|Atualizada em 2012
0098-3004|CIÊNCIA DA COMPUTAÇÃO|Computers & Geosciences|A2|Atualizada em 2012
0097-8493|CIÊNCIA DA COMPUTAÇÃO|Computers & Graphics|B1|Atualizada em 2012
0360-8352|CIÊNCIA DA COMPUTAÇÃO|Computers & Industrial Engineering|A2|Atualizada em 2012
0898-1221|CIÊNCIA DA COMPUTAÇÃO|Computers & Mathematics with Applications (1987)|A2|Atualizada em 2012
0305-0548|CIÊNCIA DA COMPUTAÇÃO|Computers & Operations Research|A1|Atualizada em 2012
0167-4048|CIÊNCIA DA COMPUTAÇÃO|Computers & Security|B1|Atualizada em 2012
0045-7949|CIÊNCIA DA COMPUTAÇÃO|Computers & Structures|A1|Atualizada em 2012
0360-1315|CIÊNCIA DA COMPUTAÇÃO|Computers and Education|A1|Atualizada em 2012
0168-1699|CIÊNCIA DA COMPUTAÇÃO|Computers and Electronics in Agriculture|A2|Atualizada em 2012
0266-352X|CIÊNCIA DA COMPUTAÇÃO|Computers and Geotechnics|B1|Atualizada em 2012
1572-8412|CIÊNCIA DA COMPUTAÇÃO|Computers and The Humanities (Dordrecht. Online)|A2|Atualizada em 2012
0010-4825|CIÊNCIA DA COMPUTAÇÃO|Computers in Biology and Medicine|B1|Atualizada em 2012
1544-3574|CIÊNCIA DA COMPUTAÇÃO|Computers in Entertainment|B3|Atualizada em 2012
