issn|area|titulo|estrato|classificacao
0100-7467|INTERDISCIPLINAR|Agropecuária Técnica (UFPB)|B4|Atualizada em 2012
1690-4141|INTERDISCIPLINAR|Agropolis|C|Atualizada em 2012
0103-3816|INTERDISCIPLINAR|Agrotrópica (Itabuna)|B3|Atualizada em 2012
0101-7004|INTERDISCIPLINAR|Águas Subterrâneas (São Paulo)|B2|Atualizada em 2012
0001-1541|INTERDISCIPLINAR|AIChE Journal|A1|Atualizada em 2012
0269-9370|INTERDISCIPLINAR|AIDS (London)|A1|Atualizada em 2012
1090-7165|INTERDISCIPLINAR|AIDS and Behavior|A2|Atualizada em 2012
1573-3254|INTERDISCIPLINAR|AIDS and Behavior (Dordrecht. Online)|B1|Atualizada em 2012
0954-0121|INTERDISCIPLINAR|Aids Care|A2|Atualizada em 2012
0889-2229|INTERDISCIPLINAR|AIDS Research and Human Retroviruses|B1|Atualizada em 2012
0094-243X|INTERDISCIPLINAR|AIP Conference Proceedings|B3|Atualizada em 2012
1178-6221|INTERDISCIPLINAR|Air, Soil and Water Research|B3|Atualizada em 2012
1133-9837|INTERDISCIPLINAR|Alambique (Barcelona)|B2|Atualizada em 2012
1851-7145|INTERDISCIPLINAR|Alambre (Buenos Aires)|B5|Atualizada em 2012
0717-4055|INTERDISCIPLINAR|ALASBIMN Journal|B5|Atualizada em 2012
1983-9472|INTERDISCIPLINAR|Albuquerque: Revista de História|B5|Atualizada em 2012
1518-8728|INTERDISCIPLINAR|Alceu (PUCRJ)|B1|Atualizada em 2012
0735-0414|INTERDISCIPLINAR|Alcohol and Alcoholism (Oxford)|B1|Atualizada em 2012
1886-8770|INTERDISCIPLINAR|Alcores: revista de historia contemporanea|B4|Atualizada em 2012
1517-106X|INTERDISCIPLINAR|Alea: Estudos Neolatinos|A2|Atualizada em 2012
1807-6211|INTERDISCIPLINAR|Aleph (UFF. Online)|B5|Atualizada em 2012
1413-0394|INTERDISCIPLINAR|Aletheia (ULBRA)|B2|Atualizada em 2012
1982-5153|INTERDISCIPLINAR|Alexandria (UFSC)|B2|Atualizada em 2012
1981-5794|INTERDISCIPLINAR|Alfa: Revista de Linguística (UNESP. Online)|A2|Atualizada em 2012
0304-9787|INTERDISCIPLINAR|Aligarh Bulletin of Mathematics|B2|Atualizada em 2012
0103-4235|INTERDISCIPLINAR|Alimentos e Nutrição (UNESP. Marilia)|B3|Atualizada em 2012
